30
Transaction Number: 1, Transaction Type: D, Card Number: 9999999999999999, Expiry Date: 2/2018, Date Of Transaction: 10/10/2015, request outcome:Pass, + reason: n/a
Transaction Number: 2, Transaction Type: D, Card Number: 4444666677772222, Expiry Date: 11/2024, Date Of Transaction: 10/10/2015, request outcome:Pass, + reason: n/a
Transaction Number: 3, Transaction Type: D, Card Number: 1111222233334444, Expiry Date: 2/2102, Date Of Transaction: 10/10/2015, request outcome:Pass, + reason: n/a
Transaction Number: 4, Transaction Type: D, Card Number: 8888888888888888, Expiry Date: 12/2014, Date Of Transaction: 10/10/2015, request outcome:Fail, + reason: n/a
Transaction Number: 5, Transaction Type: D, Card Number: 4444444444444444, Expiry Date: 12/2016, Date Of Transaction: 10/10/2015, request outcome:Pass, + reason: n/a
Transaction Number: 6, Transaction Type: D, Card Number: 1223123412341234, Expiry Date: 12/14, Date Of Transaction: 11/10/2015, request outcome:Fail, + reason: card expired
Transaction Number: 7, Transaction Type: D, Card Number: 1223123412341234, Expiry Date: 12/14, Date Of Transaction: 11/10/2015, request outcome:Fail, + reason: invalid card number
Transaction Number: 8, Transaction Type: D, Card Number: 1234123412341234, Expiry Date: 12/2014, Date Of Transaction: 11/10/2015, request outcome:Fail, + reason: card expired
Transaction Number: 9, Transaction Type: D, Card Number: 1234567887654321, Expiry Date: 12/2020, Date Of Transaction: 13/10/2015, request outcome:Pass, + reason: n/a
Transaction Number: 10, Transaction Type: D, Card Number: 8765432123456789, Expiry Date: 12/2020, Date Of Transaction: 13/10/2015, request outcome:Pass, + reason: n/a
Transaction Number: 11, Transaction Type: D, Card Number: 1234567890123456, Expiry Date: 12/2020, Date Of Transaction: 13/10/2015, request outcome:Pass, + reason: n/a
Transaction Number: 12, Transaction Type: D, Card Number: 1234567812345678, Expiry Date: 12/2014, Date Of Transaction: 13/10/2015, request outcome:Fail, + reason: card expired
Transaction Number: 13, Transaction Type: D, Card Number: 1234512345123456, Expiry Date: 12/2020, Date Of Transaction: 30/10/2015, request outcome:Pass, + reason: n/a
Transaction Number: 14, Transaction Type: D, Card Number: 1111111111111111, Expiry Date: 12/20, Date Of Transaction: 1/11/2015, request outcome:Fail, + reason: card expired
Transaction Number: 15, Transaction Type: D, Card Number: 2222222222222222, Expiry Date: 12/2020, Date Of Transaction: 1/11/2015, request outcome:Pass, + reason: n/a
Transaction Number: 16, Transaction Type: D, Card Number: 1111111111111111, Expiry Date: 0/0, Date Of Transaction: 1/11/2015, request outcome:Pass, + reason: n/a
Transaction Number: 17, Transaction Type: D, Card Number: 1111222233334444, Expiry Date: 0/0, Date Of Transaction: 2/11/2015, request outcome:Pass, + reason: n/a
Transaction Number: 18, Transaction Type: O, Card Number: 1111222233334444, Expiry Date: 0/0, Date Of Transaction: 2/11/2015, request outcome:Pass, + reason: n/a
Transaction Number: 19, Transaction Type: O, Card Number: 1111222233334444, Expiry Date: 0/0, Date Of Transaction: 2/11/2015, request outcome:Pass, + reason: n/a
Transaction Number: 20, Transaction Type: O, Card Number: 1111222233334444, Expiry Date: 0/0, Date Of Transaction: 2/11/2015, request outcome:Pass, + reason: n/a
Transaction Number: 21, Transaction Type: O, Card Number: 1111222233334444, Expiry Date: 0/0, Date Of Transaction: 2/11/2015, request outcome:Pass, + reason: n/a
Transaction Number: 22, Transaction Type: O, Card Number: 1111222233334444, Expiry Date: 0/0, Date Of Transaction: 2/11/2015, request outcome:Pass, + reason: n/a
Transaction Number: 23, Transaction Type: O, Card Number: 1111222233334444, Expiry Date: 12/2020, Date Of Transaction: 2/11/2015, request outcome:Pass, + reason: n/a
Transaction Number: 24, Transaction Type: O, Card Number: 1111222233334444, Expiry Date: 12/2020, Date Of Transaction: 2/11/2015, request outcome:Pass, + reason: n/a
Transaction Number: 25, Transaction Type: D, Card Number: 8765432112345678, Expiry Date: 0/0, Date Of Transaction: 2/11/2015, request outcome:Pass, + reason: n/a
Transaction Number: 26, Transaction Type: 1234567887654321, Card Number: D, Expiry Date: 0/0, Date Of Transaction: 2/11/2015, request outcome:Fail, + reason: card expired
Transaction Number: 27, Transaction Type: O, Card Number: 1111222233334444, Expiry Date: 12/2020, Date Of Transaction: 2/11/2015, request outcome:Pass, + reason: n/a
Transaction Number: 28, Transaction Type: D, Card Number: 1234567890987654, Expiry Date: 0/0, Date Of Transaction: 2/11/2015, request outcome:Pass, + reason: n/a
Transaction Number: 29, Transaction Type: 9999888877776666, Card Number: D, Expiry Date: 0/0, Date Of Transaction: 2/11/2015, request outcome:Fail, + reason: card expired
Transaction Number: 30, Transaction Type: 1111111111111111, Card Number: D, Expiry Date: 0/0, Date Of Transaction: 2/11/2015, request outcome:Fail, + reason: card expired
